supplier_order_id,supplier_id,supplier_name,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,order_status
PO000001,SUP004,EuroMeds,P037,WH006,2026-04-23,2026-04-30,2026-04-29,499,499,Delivered
PO000002,SUP001,MediSupply Europe,P004,WH006,2026-05-20,2026-06-02,2026-06-14,1453,1453,Delivered
PO000003,SUP008,LifeCare Suppliers,P029,WH009,2026-04-05,2026-04-22,2026-04-21,3370,3370,Delivered
PO000004,SUP006,HealthChain Partners,P022,WH001,2025-08-25,2025-09-08,2025-09-08,2209,2098,Partially Delivered
PO000005,SUP006,HealthChain Partners,P025,WH008,2025-07-15,2025-07-25,2025-07-23,3266,3266,Delivered
PO000006,SUP003,BioHealth Distribution,P011,WH006,2026-02-27,2026-03-19,2026-03-18,4918,4918,Delivered
PO000007,SUP002,PharmaLogistics,P046,WH006,2025-07-23,2025-08-11,2025-08-09,3235,3235,Delivered
PO000008,SUP003,BioHealth Distribution,P020,WH010,2026-06-23,2026-07-04,2026-07-03,2411,2411,Open
PO000009,SUP005,Global Pharma Supply,P024,WH006,2026-03-13,2026-03-31,2026-03-30,1687,1265,Partially Delivered
PO000010,SUP007,ColdMed Logistics,P047,WH007,2026-01-20,2026-02-07,2026-02-07,788,748,Partially Delivered
PO000011,SUP004,EuroMeds,P031,WH007,2026-03-02,2026-03-20,2026-03-18,2898,2898,Delivered
PO000012,SUP004,EuroMeds,P025,WH005,2025-10-26,2025-10-31,2025-10-29,2773,2773,Delivered
PO000013,SUP002,PharmaLogistics,P005,WH007,2025-10-13,2025-10-18,2025-10-18,4192,4192,Delivered
PO000014,SUP004,EuroMeds,P031,WH002,2025-07-09,2025-07-24,2025-08-02,4408,4408,Delivered
PO000015,SUP006,HealthChain Partners,P044,WH003,2025-12-09,2025-12-23,2025-12-22,2756,2756,Delivered
PO000016,SUP003,BioHealth Distribution,P023,WH010,2026-01-28,2026-02-08,2026-02-11,3366,3366,Delivered
PO000017,SUP003,BioHealth Distribution,P017,WH002,2026-04-19,2026-05-02,2026-05-01,2052,2052,Delivered
PO000018,SUP008,LifeCare Suppliers,P002,WH009,2026-06-10,2026-06-22,2026-07-01,2187,2077,Open
PO000019,SUP003,BioHealth Distribution,P002,WH001,2025-09-12,2025-09-26,2025-09-25,2258,2258,Delivered
