alert_id,created_at,product_id,product_name,warehouse_id,warehouse_name,supplier_id,supplier_name,alert_type,severity,quantity_on_hand,reorder_threshold,days_to_expiry,status
ALT000001,2026-06-26,P047,Lantus,WH010,Amsterdam Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,17,139,36,Open
ALT000002,2026-06-26,P005,Augmentin,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,76,92,772,Open
ALT000003,2026-06-26,P042,Flagyl,WH010,Amsterdam Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,7,133,317,Open
ALT000004,2026-06-26,P029,Prednisone,WH007,Milan Distribution Center,SUP006,HealthChain Partners,Low Stock,Medium,68,265,562,Open
ALT000005,2026-06-26,P043,Cortancyl,WH005,Madrid Distribution Center,SUP006,HealthChain Partners,Low Stock,High,22,267,307,Open
ALT000006,2026-06-26,P044,Eliquis,WH001,Paris Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,-10,180,704,Open
ALT000007,2026-06-26,P046,Humalog,WH005,Madrid Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,93,132,370,Open
ALT000008,2026-06-26,P005,Augmentin,WH004,Munich Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,24,92,589,Open
ALT000009,2026-06-26,P048,Inexium,WH009,Brussels Distribution Center,SUP007,ColdMed Logistics,Low Stock,Medium,181,187,279,Open
ALT000010,2026-06-26,P017,Levothyrox,WH001,Paris Distribution Center,SUP004,EuroMeds,Low Stock,Medium,71,194,636,Open
ALT000011,2026-06-26,P045,Xarelto,WH009,Brussels Distribution Center,SUP003,BioHealth Distribution,Low Stock,Medium,62,87,262,Open
ALT000012,2026-06-26,P004,Paracetamol,WH001,Paris Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,44,231,429,Open
ALT000013,2026-06-26,P039,Bisoprolol,WH008,Rome Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,12,249,297,Open
ALT000014,2026-06-26,P019,Mopral,WH001,Paris Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,87,222,130,Open
ALT000015,2026-06-26,P039,Bisoprolol,WH001,Paris Distribution Center,SUP005,Global Pharma Supply,Low Stock,High,31,249,27,Open
ALT000016,2026-06-26,P013,Forlax,WH005,Madrid Distribution Center,SUP004,EuroMeds,Low Stock,High,10,87,292,Open
ALT000017,2026-06-26,P050,Nurofen,WH008,Rome Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,71,182,245,Open
ALT000018,2026-06-26,P033,Fluconazole,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,19,229,302,Open
ALT000019,2026-06-26,P038,Rivaroxaban,WH003,Berlin Distribution Center,SUP001,MediSupply Europe,Low Stock,Medium,99,259,282,Open
ALT000020,2026-06-26,P045,Xarelto,WH002,Lyon Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,39,87,73,Open
ALT000021,2026-06-26,P016,Toplexil,WH007,Milan Distribution Center,SUP008,LifeCare Suppliers,Low Stock,Medium,76,283,895,Open
ALT000022,2026-06-26,P023,Azithromycine,WH004,Munich Distribution Center,SUP006,HealthChain Partners,Low Stock,High,38,111,34,Open
ALT000023,2026-06-26,P028,Omeprazole,WH010,Amsterdam Distribution Center,SUP008,LifeCare Suppliers,Low Stock,High,19,232,223,Open
ALT000024,2026-06-26,P028,Omeprazole,WH002,Lyon Distribution Center,SUP008,LifeCare Suppliers,Low Stock,Medium,55,232,264,Open
ALT000025,2026-06-26,P027,Ramipril,WH008,Rome Distribution Center,SUP004,EuroMeds,Low Stock,Medium,74,130,228,Open
ALT000026,2026-06-26,P017,Levothyrox,WH008,Rome Distribution Center,SUP004,EuroMeds,Low Stock,Medium,142,194,398,Open
ALT000027,2026-06-26,P035,Biseptine,WH010,Amsterdam Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,47,137,72,Open
ALT000028,2026-06-26,P005,Augmentin,WH003,Berlin Distribution Center,SUP003,BioHealth Distribution,Low Stock,High,38,92,771,Open
ALT000029,2026-06-26,P049,Doxycycline,WH002,Lyon Distribution Center,SUP002,PharmaLogistics,Low Stock,Medium,61,84,133,Open
ALT000030,2026-06-26,P021,Tramadol,WH007,Milan Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,11,177,183,Open
ALT000031,2026-06-26,P041,Clamoxyl,WH010,Amsterdam Distribution Center,SUP007,ColdMed Logistics,Low Stock,High,2,94,195,Open
