product_id,product_name,category,manufacturer,supplier_id,dosage,form,storage_temp,unit_price,reorder_threshold,criticality_level,status
P001,Doliprane,Respiratory,Roche,SUP003,1g,Inhaler,15-25°C,55.07,178,Low,Active
P002,Amoxicilline,Antiallergic,Bayer,SUP001,5mg/ml,Tablet,15-25°C,11.16,129,Low,Active
P003,Ibuprofene,Antiallergic,GSK,SUP008,500mg,Capsule,15-25°C,36.51,232,Medium,Active
P004,Paracetamol,Anti-inflammatory,Merck,SUP003,100mg,Injection,15-25°C,27.03,231,Medium,Active
P005,Augmentin,Gastrointestinal,Pfizer,SUP003,1g,Injection,15-25°C,25.07,92,Medium,Active
P006,Ventoline,Cardiovascular,Pfizer,SUP001,5mg/ml,Inhaler,2-8°C,92.5,139,High,Active
P007,Efferalgan,Antibiotic,Roche,SUP003,1g,Capsule,15-25°C,38.86,214,Critical,Active
P008,Spasfon,Antiallergic,Pfizer,SUP005,5mg/ml,Syrup,Below 30°C,85.01,136,Medium,Active
P009,Kardegic,Gastrointestinal,Pfizer,SUP002,5mg/ml,Tablet,15-25°C,60.88,115,Low,Active
P010,Aerius,Antibiotic,Bayer,SUP007,500mg,Cream,15-25°C,76.02,252,High,Discontinued
P011,Dafalgan,Cardiovascular,Roche,SUP002,5mg/ml,Tablet,15-25°C,48.99,99,Low,Active
P012,Smecta,Analgesic,Bayer,SUP001,1g,Tablet,Below 30°C,55.86,144,Medium,Active
P013,Forlax,Dermatology,Merck,SUP004,5mg/ml,Syrup,2-8°C,48.06,87,Low,Active
P014,Lovenox,Gastrointestinal,AstraZeneca,SUP007,500mg,Tablet,15-25°C,20.56,223,Low,Active
P015,Plavix,Anticoagulant,Merck,SUP001,500mg,Capsule,2-8°C,69.33,221,Critical,Active
P016,Toplexil,Analgesic,AstraZeneca,SUP008,1g,Capsule,2-8°C,28.47,283,High,Discontinued
P017,Levothyrox,Dermatology,Bayer,SUP004,250mg,Injection,15-25°C,4.75,194,Medium,Active
P018,Zyrtec,Anti-inflammatory,Merck,SUP002,250mg,Inhaler,15-25°C,62.21,294,Medium,Discontinued
P019,Mopral,Endocrinology,Roche,SUP001,5mg/ml,Cream,15-25°C,18.88,222,Low,Discontinued
P020,Gaviscon,Respiratory,Sanofi,SUP008,100mg,Tablet,15-25°C,89.49,171,Low,Active
P021,Tramadol,Anticoagulant,Bayer,SUP007,5mg/ml,Tablet,2-8°C,90.74,177,Low,Active
P022,Cefixime,Anti-inflammatory,AstraZeneca,SUP007,1g,Syrup,Below 30°C,87.12,145,Medium,Active
P023,Azithromycine,Cardiovascular,GSK,SUP006,1g,Inhaler,15-25°C,36.74,111,High,Active
P024,Metformine,Anti-inflammatory,AstraZeneca,SUP008,1g,Capsule,15-25°C,3.93,294,Medium,Active
P025,Insuline,Endocrinology,GSK,SUP005,1g,Cream,15-25°C,88.37,270,Low,Active
P026,Amlodipine,Cardiovascular,Pfizer,SUP003,1g,Injection,2-8°C,42.11,165,Critical,Active
P027,Ramipril,Anticoagulant,Merck,SUP004,500mg,Capsule,2-8°C,91.92,130,High,Active
P028,Omeprazole,Endocrinology,,SUP008,250mg,Inhaler,2-8°C,91.63,232,Medium,Active
P029,Prednisone,Antibiotic,AstraZeneca,SUP006,1g,Injection,2-8°C,81.4,265,Medium,Active
P030,Furosemide,Respiratory,Pfizer,SUP003,100mg,Syrup,15-25°C,29.74,142,Medium,Active
P031,Loratadine,Anticoagulant,Sanofi,SUP003,100mg,Syrup,15-25°C,38.12,269,Low,Active
P032,Cetirizine,Antibiotic,Roche,SUP001,100mg,Tablet,15-25°C,81.23,204,Medium,Active
P033,Fluconazole,Dermatology,Roche,SUP003,100mg,Inhaler,2-8°C,31.82,229,High,Active
P034,Ketoprofene,Anticoagulant,Roche,SUP005,500mg,Cream,15-25°C,18.18,137,Low,Active
P035,Biseptine,Dermatology,GSK,SUP007,100mg,Injection,15-25°C,54.0,137,Low,Active
P036,Sertraline,Cardiovascular,,SUP006,1g,Capsule,15-25°C,89.09,165,Low,Active
P037,Atorvastatine,Antibiotic,GSK,SUP003,5mg/ml,Inhaler,,66.88,128,Low,Active
P038,Rivaroxaban,Respiratory,Merck,SUP001,100mg,Inhaler,15-25°C,55.23,259,High,Active
P039,Bisoprolol,Endocrinology,GSK,SUP005,500mg,Syrup,15-25°C,11.49,249,High,Active
P040,Salbutamol,Antiallergic,Sanofi,SUP002,500mg,Tablet,15-25°C,59.39,149,Medium,Active
P041,Clamoxyl,Anti-inflammatory,Sanofi,SUP007,100mg,Tablet,2-8°C,94.08,94,Low,Active
P042,Flagyl,Analgesic,Merck,SUP007,5mg/ml,Injection,2-8°C,15.46,133,Medium,Discontinued
P043,Cortancyl,Respiratory,Sanofi,SUP006,100mg,Syrup,15-25°C,50.45,267,Medium,Active
P044,Eliquis,Antibiotic,AstraZeneca,SUP007,500mg,Inhaler,2-8°C,83.66,180,Low,Active
P045,Xarelto,Antiallergic,Sanofi,SUP003,250mg,Cream,15-25°C,71.02,87,Medium,Active
P046,Humalog,Respiratory,Roche,SUP001,1g,Syrup,15-25°C,66.97,132,Medium,Active
P047,Lantus,Antibiotic,AstraZeneca,SUP007,500mg,Injection,2-8°C,67.48,139,Medium,Discontinued
P048,Inexium,Gastrointestinal,AstraZeneca,SUP007,100mg,Injection,,35.75,187,Medium,Active
P049,Doxycycline,Gastrointestinal,Merck,SUP002,1g,Syrup,2-8°C,29.66,84,Low,Active
P050,Nurofen,Dermatology,Novartis,SUP002,100mg,Injection,2-8°C,-5.0,182,Medium,Active
