sales_order_id,order_date,product_id,warehouse_id,customer_type,quantity_ordered,quantity_delivered,sales_amount
SO000001,2025-07-27,P031,WH002,Pharmacy,431,431,16429.72
SO000002,2026-03-23,P028,WH009,Hospital,501,501,45906.63
SO000003,2025-12-21,P012,WH003,Hospital,47,47,2625.42
SO000004,2025-06-28,P016,WH001,Distributor,188,188,5352.36
SO000005,2026-02-03,P033,WH007,Clinic,160,152,4836.64
SO000006,2026-05-30,P035,WH005,Pharmacy,55,55,2970.0
SO000007,2026-06-21,P044,WH009,Hospital,520,520,43503.2
SO000008,2025-08-14,P004,WH003,Pharmacy,123,123,3324.69
SO000009,2025-10-08,P010,WH001,Pharmacy,442,442,33600.84
SO000010,2025-11-09,P034,WH007,Pharmacy,409,409,7435.62
SO000011,2026-02-25,P041,WH008,Distributor,276,138,12983.04
SO000012,2025-12-15,P003,WH002,Pharmacy,419,419,15297.69
SO000013,2026-03-14,P031,WH002,Pharmacy,242,193,7357.16
SO000014,2025-12-10,P031,WH009,Pharmacy,24,24,914.88
SO000015,2026-04-26,P001,WH004,Hospital,195,156,8590.92
SO000016,2025-09-16,P005,WH001,Pharmacy,347,347,8699.29
SO000017,2026-04-08,P005,WH009,Clinic,27,27,676.89
SO000018,2026-01-03,P002,WH009,Hospital,206,195,2176.2
SO000019,2026-06-18,P015,WH006,Pharmacy,295,295,20452.35
SO000020,2025-12-29,P001,WH006,Clinic,168,168,9251.76
SO000021,2025-09-29,P021,WH009,Pharmacy,372,372,33755.28
SO000022,2026-01-16,P037,WH002,Hospital,476,476,31834.88
SO000023,2025-09-24,P007,WH009,Hospital,219,219,8510.34
SO000024,2025-12-03,P011,WH004,Hospital,505,505,24739.95
SO000025,2026-04-28,P026,WH004,Clinic,140,140,5895.4
SO000026,2025-12-23,P042,WH009,Clinic,539,539,8332.94
SO000027,2026-04-13,P002,WH007,Hospital,365,365,4073.4
SO000028,2026-03-25,P030,WH010,Distributor,445,445,13234.3
SO000029,2026-04-21,P014,WH005,Pharmacy,297,148,3042.88
SO000030,2026-06-25,P005,WH008,Distributor,570,541,13562.87
SO000031,2025-12-31,P031,WH001,Pharmacy,174,139,5298.68
SO000032,2026-02-05,P048,WH007,Pharmacy,80,80,2860.0
SO000033,2026-05-14,P032,WH004,Clinic,293,293,23800.39
SO000034,2026-01-04,P034,WH002,Pharmacy,41,41,745.38
SO000035,2025-09-05,P010,WH002,Pharmacy,178,169,12847.38
SO000036,2025-11-08,P031,WH009,Pharmacy,429,429,16353.48
SO000037,2025-11-03,P027,WH006,Pharmacy,95,95,8732.4
SO000038,2026-03-26,P018,WH004,Pharmacy,19,19,1181.99
SO000039,2026-05-14,P005,WH002,Pharmacy,538,538,13487.66
SO000040,2026-05-31,P017,WH007,Hospital,361,361,1714.75
SO000041,2025-09-28,P011,WH009,Hospital,577,577,28267.23
SO000042,2026-05-19,P005,WH002,Hospital,148,148,3710.36
SO000043,2025-09-11,P038,WH004,Pharmacy,310,310,17121.3
SO000044,2025-10-22,P048,WH001,Distributor,136,108,3861.0
